gene_id	padj	log2FoldChange	probesetID
AT5G59540	0.000265441	-1.68	247679_at
AT2G38360	0.016116876	-1.3	267055_at
AT1G34150	0.029622916	1.323292056	255985_at
AT1G54820	0.000490042	-1.67	264240_at
AT5G28500	0.038280657	1.262305012	245952_at
AT3G44100	0.020611981	1.302560693	252669_at
AT3G13720	0.011820724	1.485542171	256785_at
AT2G43430	0.005135287	1.316695468	260552_at
AT2G35320	0.004439964	1.33053053	266547_at
AT1G64170	0.002794497	1.740639621	262324_at
AT2G28660	0.000642535	1.851871725	263438_at
AT1G79150	0.006221162	-1.48	264131_at
AT1G42550	0.045260644	1.3421636	256542_at
AT5G14000	0.013868042	-1.41	250208_at
AT5G56790	0.003796156	-1.39	247985_at
AT2G04400	0.023246435	-1.24	263807_at
AT3G02830	0.012966503	1.461453467	258621_at
AT5G25810	0.00000766	-3.3	246911_at
AT3G62100	0.005110362	-1.44	251246_at
AT2G41480	0.000000597	-3.03	267101_at
AT3G53260	0.003955954	-1.57	251984_at
AT4G20880	0.013163127	-1.37	254434_at
AT2G28870	0.04022077	-1.32	266227_at
AT2G26180	0.02835856	-1.38	267402_at
AT3G57240	0.00010558	-1.84	251673_at
AT5G10580	0.000242405	-2.44	250438_at
AT5G05270	0.007515924	1.454825312	250794_at
AT3G47620	0.001012994	-1.51	252425_at
AT1G28410	0.023600952	1.292103479	261495_at
AT3G09690	0.009530891	1.459194171	258698_at
AT1G02205	0.000840864	-1.53	264146_at
AT4G16260	0.001753983	-1.65	245393_at
AT4G26070	0.045566664	1.249575722	253993_at
AT5G63905	0.028340157	1.417868057	247305_at
AT4G29700	0.0000245	-1.83	253697_at
AT2G40420	0.004168641	1.669354929	263827_at
AT5G45700	0.042611484	1.280415758	248963_at
AT2G46740	0.000262952	-2.36	266711_at
AT5G48500	0.00000477	-2.44	248685_at
AT1G67770	0.0000748	2.010160898	245191_at
AT4G32530	0.034332494	1.212469125	253442_at
AT1G41770	0.017340482	1.345205018	260043_at
AT3G63470	0.001483117	-1.55	251116_at
AT3G27110	0.036849631	1.359552643	257791_at
AT5G59305	0.008851888	-1.64	247719_at
AT5G59650	0.045863187	1.231348202	247682_at
AT1G16360	0.048093009	1.335193953	262755_at
AT3G20490	0.039454338	1.242455744	257086_at
